SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 27-Aug-2020,32.9,33.1,34,33,33.45,33.25,33.39,154505,51.59,1130,116799,75.6
21STCENMGM, EQ, 27-Aug-2020,10.4,10.4,10.6,10.25,10.55,10.55,10.41,6019,0.63,35,5235,86.97
3IINFOTECH, EQ, 27-Aug-2020,3.95,4.1,4.1,3.9,4,4.05,4.04,12684409,512.28,5251,7334888,57.83
3MINDIA, EQ, 27-Aug-2020,20866.15,21100,21510.05,20866.15,20970.45,20999.8,21219.66,6262,1328.78,2169,3088,49.31
5PAISA, BE, 27-Aug-2020,353.7,355,364.9,350,361,361.4,362.32,14947,54.16,204, -, -
618GS2024, GS, 27-Aug-2020,105.45,102.15,102.15,102.15,102.15,102.15,102.15,20,0.02,1,20,100
63MOONS, EQ, 27-Aug-2020,81.2,81.3,82.35,80.5,80.9,81.05,81.47,28540,23.25,523,16833,58.98
719GS2060, GS, 27-Aug-2020,113,110,110,110,110,110,110,1000,1.1,5,1000,100
A2ZINFRA, EQ, 27-Aug-2020,5.25,5.45,5.5,5,5.5,5.5,5.38,3573521,192.24,2466,2198246,61.51
AARON, SM, 27-Aug-2020,49.2,50,50,50,50,50,50,3300,1.65,1,3300,100
AARTIDRUGS, EQ, 27-Aug-2020,2940.05,2850,3098.5,2755,2943.5,2933.05,2950.73,1098153,32403.48,107979,207037,18.85
AARTIIND, EQ, 27-Aug-2020,1119,1123.4,1129,1103,1125.15,1124.35,1120.17,357385,4003.31,16855,153814,43.04
AARTISURF, BE, 27-Aug-2020,535.2,561.95,561.95,561.95,561.95,561.95,561.95,50396,283.2,676, -, -
AARVEEDEN, EQ, 27-Aug-2020,12.15,12.15,12.7,11.85,12.7,12.5,12.37,33017,4.09,177,20861,63.18
AARVI, EQ, 27-Aug-2020,43,45.15,45.15,43.25,44.4,44.4,44.11,1093,0.48,29,907,82.98
AAVAS, EQ, 27-Aug-2020,1535.7,1545.85,1565,1505.05,1515,1518.55,1532.46,31509,482.86,4876,10870,34.5
ABAN, EQ, 27-Aug-2020,29.1,29.5,29.5,28.4,29.1,28.85,29.12,82382,23.99,718,48478,58.85
ABB, EQ, 27-Aug-2020,959.25,964,985,961.9,971,970.9,968.38,515635,4993.3,6550,424270,82.28
ABBOTINDIA, EQ, 27-Aug-2020,16944,17250,17332,17006,17045,17065.1,17122.94,18991,3251.82,5319,11257,59.28
ABCAPITAL, EQ, 27-Aug-2020,65.35,66,66.4,64.1,64.3,64.35,65.24,3629588,2368.03,15968,1403343,38.66
ABFRL, EQ, 27-Aug-2020,149.05,149.1,152.15,145.4,146.65,146.25,149.13,2714322,4047.77,13179,1966645,72.45
ABFRLPP, E1, 27-Aug-2020,88.1,89.75,90.05,85.4,86.6,86.6,87.45,101547,88.8,1092,55076,54.24
ABINFRA, SM, 27-Aug-2020,9.2,8.75,8.75,8.75,8.75,8.75,8.75,4000,0.35,1,4000,100
ABMINTLTD, BE, 27-Aug-2020,27.05,28.4,28.4,28.4,28.4,28.4,28.4,3444,0.98,33, -, -
ABSLBANETF, EQ, 27-Aug-2020,238.61,230.01,258.98,226.12,232.58,245,239.42,755,1.81,63,395,52.32
ABSLNN50ET, EQ, 27-Aug-2020,285.43,299,299,290.09,290.1,290.09,294.43,226,0.67,17,203,89.82
ABSLRIF6RG, MF, 27-Aug-2020,6.62,6.44,6.55,6.18,6.55,6.55,6.44,53222,3.43,17,45516,85.52
ACC, EQ, 27-Aug-2020,1397.85,1398.1,1415.7,1393.75,1402.5,1400.05,1403.47,538452,7557,21977,60948,11.32
ACCELYA, EQ, 27-Aug-2020,1043.7,1054.8,1054.8,1017.45,1028,1028.4,1036.06,15292,158.43,1387,4082,26.69
ACCURACY, SM, 27-Aug-2020,38.8,42.6,42.6,38.1,38.1,38.1,41.31,6400,2.64,4,3200,50
ACE, EQ, 27-Aug-2020,68.2,68.75,69.6,68.05,68.2,68.25,68.77,233910,160.86,1772,102871,43.98
ADANIENT, EQ, 27-Aug-2020,285.55,284.9,297.7,283.7,285.9,286.7,291.02,15749472,45834.75,124274,1333622,8.47
