ID,Name,Companies,Inception,Revenue,Expenses,Profit,Growth
1,Lamtone,,2009,"$11,757,018 ","6,482,465 Dollars",5274553,30%
2,Stripfind,Financial Services,2010,"$12,329,371 ","916,455 Dollars",NULL,20%
3,Canecorporation,not avilable,2012,"$10,597,009 ","7,591,189 Dollars",3005820,7%
4,Mattouch,,2013,"$14,026,934 ","7,429,377 Dollars",NaN,7%
5,Techdrill,NaN,2009,"$10,573,990 ","7,435,363 Dollars",not avilable,7%
6,Techline,no value,2006,"$13,898,119 ","5,470,303 Dollars",,7%
7,Cityace,NaN,2010,"$10,573,990 ","6,249,498 Dollars",not avilable,16%
8,Kayelectronics,Health,2009,"$10,573,990 ","3,878,113 Dollars",5573830,4%
9,Ganzlax,#N/A,2011,"$14,001,180 ","3,878,113 Dollars",0,18%
10,Trantraxlax,Government Services,2011,"$11,088,336 ","5,635,276 Dollars",0,7%
,NaN,NaN,NaN,NaN,NaN,NaN,NaN
