Date,Student ID,Study hrs,Percantege,Class,Section
01-07-2019,1001,2,50,10,A
02-07-2019,1002,3,80,10,B
03-07-2019,,3,60,10,A
04-07-2019,,3,50,11,C
05-07-2019,1005,4,80,11,C
06-07-2019,,10,60,11,C
07-07-2019,1007,4,80,12,B
08-07-2019,1008,3,90,12,A
09-07-2019,1009,4,60,12,D
10-07-2019,1010,6,85,12,A
,,4,60,,
,,5,70,,
,,2,45,,
,,3,50,,
,,3,80,,
,,3,60,,
,,4,50,,
,,10,80,,
,,4,60,,
,,3,80,,
,,4,90,,
,,6,60,,
,,4,85,,
,,5,60,,
,,2,70,,
,,3,75,,
,,3,50,,
,,3,80,,
,,4,60,,
,,7,50,,
,,4,80,,
,,3,60,,
,,4,80,,
,,6,90,,
,,4,60,,
,,5,85,,
,,6,60,,
,,2,70,,
,,3,50,,
,,3,80,,
,,3,60,,
,,4,50,,
,,10,80,,
,,4,60,,
,,3,80,,
,,4,90,,
,,6,60,,
,,4,85,,
,,5,60,,
,,7,70,,
,,2,90,,
,,3,65,,
,,3,50,,
,,3,80,,
,,4,60,,
,,10,50,,
,,4,80,,
,,3,60,,
,,4,80,,
,,6,90,,
,,4,60,,
,,5,85,,
,,9,60,,
,,2,70,,
,,2,50,,
,,3,80,,
,,3,60,,
,,3,50,,
,,4,80,,
,,10,60,,
,,4,80,,
,,3,90,,
,,4,60,,
,,6,85,,
,,4,60,,
,,5,70,,
